department_code,mandatory_courses
BTO,"['BTO1101', 'BTO1111', 'BTO1121', 'BTO1102', 'BTO1112', 'BTO1122', 'BTO2101', 'BTO2121', 'BTO2141', 'BTO2161', 'BTO2102', 'BTO2122', 'BTO2132', 'BTO2162', 'BTO3101', 'BTO3121', 'BTO3131', 'BTO3102', 'BTO3132', 'BTO3142', 'BTO4101', 'BTO4121', 'BTO4301', 'BTO4102', 'BTO4132', 'BTO4302', 'ATA1041', 'EGT1020', 'EGT1051', 'MDB1131', 'TRO1901', 'ATA1042', 'EGT1010', 'EGT1030', 'MDB1132', 'TRO1902', 'EGT2010', 'EGT2030', 'EGT3010', 'EGT3020', 'EGT3040', 'EGT3030', 'SBO2130', 'EGT4020', 'EGT4010']"
PDR,"['PDR3211', 'PDR2232', 'PDR4101', 'PDR4151', 'EGT1051', 'EGT1010', 'ATA1041', 'BTO1911', 'MDB1091', 'TRO1901', 'PDR1201', 'PDR1211', 'EGT1020', 'BTO1810', 'ATA1042', 'MDB1092', 'TRO1902', 'PDR1202', 'PDR1212', 'PDR1222', 'EGT2010', 'PDR2201', 'PDR2211', 'PDR2221', 'PDR2231', 'EGT2020', 'EGT2030', 'PDR2212', 'PDR2222', 'PDT2232', 'PDR2242', 'SBO2130', 'EGT3030', 'EGT3040', 'PDR3201', 'PDR3211', 'PDR3221', 'PDR3231', 'PDR3241', 'EGT3010', 'EGT3020', 'PDR3222', 'PDR3232', 'PDR3242', 'PDR3252', 'PDR3262', 'EGT4020', 'PDR4211', 'PDR4221', 'PDR4231', 'PDR4241', 'PDR4301', 'PDR4222', 'PDR4232', 'PDR4242', 'PDR4252', 'PDR4302']"
FBO,"['ATA1041', 'BTO1911', 'EGT1020', 'EGT1051', 'FBO1061', 'FBO1071', 'FBO1091', 'MDB1091', 'TRO1901', 'ATA1042', 'EGT1010', 'EGT1030', 'FBO1062', 'FBO1072', 'FBO1082', 'FBO1092', 'MDB1092', 'TRO1092', 'EGT2010', 'EGT2020', 'FBO2111', 'FBO2121', 'FBO2131', 'FBO2171', 'BTO1810', 'EGT2030', 'FBO2172', 'FBO2182', 'FBO2192', 'SBO2130', 'EGT3030', 'EGT3040', 'FBO3081', 'FBO3091', 'FBO3101', 'EGT3010', 'EGT3020', 'FBO3082', 'FBO3092', 'FBO3102', 'EGT4010', 'FBO4211', 'FBO4221', 'FBO4301', 'EGT4020', 'FBO4252', 'FBO4262', 'FBO4302']"
OKL,"['OKL1001', 'OKL1041', 'OKL1002', 'OKL1042', 'OKL2101', 'OKL2111', 'OKL2121', 'OKL2102', 'OKL2112', 'OKL2122', 'OKL3001', 'OKL3101', 'OKL3111', 'OKL3202', 'OKL3212', 'OKL3222', 'OKL4101', 'OKL4111', 'OKL4301', 'OKL4202', 'OKL4302', 'ATA1041', 'BTO1911', 'EGT1020', 'EGT1051', 'MDB1091', 'TRO1901', 'ATA1042', 'EGT1010', 'EGT1030', 'MDB1092', 'TRO1902', 'EGT2020', 'EGT2030', 'BTO1810', 'EGT2010', 'SBO2130', 'EGT3030', 'EGT3040', 'EGT3010', 'EGT3020', 'EGT4010', 'EGT4020']"
SNF,"['SNF1211', 'SNF1411', 'SNF1312', 'SNF1322', 'SNF1422', 'SNF2121', 'SNF2331', 'SNF2511', 'SNF2152', 'SNF2522', 'SNF3221', 'SNF3341', 'SNF3431', 'SNF3222', 'SNF3442', 'SNF3622', 'SNF4301', 'SNF4531', 'SNF4811', 'SNF4302', 'SNF4542', 'SNF4632', 'ATA1041', 'BTO1911', 'EGT1010', 'EGT1051', 'MDB1091', 'TRO1901', 'ATA1042', 'EGT1020', 'EGT1030', 'MDB1092', 'TRO1902', 'BTO1810', 'EGT2030', 'EGT2010', 'EGT2020', 'SBO2130', 'EGT3010', 'EGT3020', 'EGT3030', 'EGT3040', 'EGT4020', 'EGT4010']"
SBO,"['SBO1101', 'SBO1131', 'SBO1122', 'SBO1132', 'SBO1142', 'SBO1152', 'SBO2421', 'SBO2521', 'SBO2621', 'SBO2721', 'SBO2130', 'SBO2422', 'SBO2522', 'SBO2622', 'SBO2722', 'SBO3231', 'SBO3331', 'SBO3431', 'SBO3332', 'SBO3432', 'SBO3532', 'SBO3632', 'SBO4151', 'SBO4161', 'SBO4171', 'SBO4181', 'SBO4301', 'SBO4262', 'SBO4272', 'SBO4282', 'SBO4302', 'ATA1041', 'BTO1911', 'EGT1030', 'EGT1051', 'MDB1091', 'TRO1901', 'ATA1042', 'EGT1010', 'EGT1020', 'MDB1092', 'TRO1902', 'EGT2010', 'EGT2030', 'BTO1810', 'EGT2020', 'EGT3030', 'EGT3040', 'EGT4010', 'EGT4020']"
ING,"['ING1311', 'ING1321', 'ING1331', 'ING1341', 'ING1312', 'ING1322', 'ING1332', 'ING1342', 'ING1362', 'ING2311', 'ING2321', 'ING2331', 'ING2341', 'ING2312', 'ING2322', 'ING2332', 'ING2342', 'ING3311', 'ING3321', 'ING3331', 'ING3312', 'ING3322', 'ING3332', 'ING4301', 'ING4311', 'ING4321', 'ING4302', 'ING4312', 'ATA1041', 'BTO1911', 'EGT1010', 'EGT1051', 'MDB1401', 'TRO1901', 'ATA1042', 'EGT1020', 'EGT1030', 'MDB1402', 'TRO1902', 'BTO1810', 'EGT2010', 'EGT2020', 'EGT2030', 'EGT3010', 'EGT3020', 'EGT3030', 'EGT3040', 'EGT4020', 'SBO2130', 'EGT4010']"
BLM,"['KOM1062', 'FIZ1002', 'EHM1042', 'EHM1041', 'EHM4991', 'KOM4991', 'ELM4991', 'BLM4991', 'BLM1011', 'BLM1991', 'BLM1012', 'BLM1022', 'BLM1032', 'BLM1992', 'BLM2011', 'BLM2021', 'BLM2031', 'BLM2041', 'BLM2051', 'BLM2521', 'BLM2611', 'BLM2012', 'BLM2022', 'BLM2032', 'BLM2042', 'BLM2502', 'BLM2512', 'BLM3011', 'BLM3021', 'BLM3031', 'BLM3041', 'BLM3051', 'BLM3022', 'BLM3002', 'BLM3010', 'BLM3012', 'BLM3722', 'BLM4011', 'BLM4021', 'BLM4002', 'BLM9000', 'ATA1031', 'FIZ1001', 'MAT1071', 'MAT1320', 'MDB1031', 'FIZ1951', 'MAT1072', 'MDB1032', 'TDB1031', 'ATA1032', 'TDB1032']"
ELM,"['EHM4991', 'KOM4991', 'ELM4991', 'BLM4991', 'ELM4991', 'ELM1001', 'ELM1031', 'ELM1041', 'ELM1002', 'ELM1042', 'ELM2051', 'ELM2061', 'ELM2071', 'ELM2081', 'ELM2002', 'ELM2042', 'ELM2062', 'ELM2072', 'ELM2082', 'ELM2092', 'ELM3001', 'ELM3071', 'ELM3081', 'ELM3091', 'ELM3141', 'ELM3002', 'ELM3092', 'ELM3182', 'ELM3192', 'ELM3762', 'ELM3792', 'ELM4041', 'ELM4051', 'ELM4061', 'ELM4000', 'ELM4042', 'ATA1031', 'FIZ1001', 'MAT1071', 'MAT1320', 'MDB1031', 'TDB1031', 'ATA1032', 'FIZ1002', 'KIM1170', 'MAT1072', 'MDB1032', 'TDB1032', 'MAT2411']"
EHM,"['EHM4991', 'KOM4991', 'ELM4991', 'BLM4991', 'EHM1011', 'EHM1041', 'EHM1012', 'EHM1022', 'EHM1032', 'EHM1042', 'EHM2121', 'EHM2131', 'EHM2141', 'EHM2151', 'EHM2161', 'EHM2171', 'EHM2002', 'EHM2122', 'EHM2132', 'EHM2142', 'EHM2152', 'EHM2162', 'EHM3111', 'EHM3121', 'EHM3131', 'EHM3141', 'EHM3151', 'EHM3002', 'EHM3112', 'EHM3122', 'EHM3132', 'EHM3142', 'EHM3152', 'EHM3162', 'EHM4200', 'EHM4012', 'EHM9000', 'ENF1190', 'FIZ1001', 'MAT1071', 'MAT1320', 'MDB1031', 'ENF1210', 'MAT1072', 'MDB1032', 'ATA1031', 'ATA1032', 'TDB1031', 'TDB1032']"
KOM,"['EHM4991', 'KOM4991', 'ELM4991', 'BLM4991', 'KOM1021', 'KOM1061', 'KOM1991', 'KOM1012', 'KOM1062', 'KOM1992', 'KOM2711', 'KOM2721', 'KOM2731', 'KOM2751', 'KOM2002', 'KOM2072', 'KOM2702', 'KOM2712', 'KOM2722', 'KOM3751', 'KOM3761', 'KOM3771', 'KOM3781', 'KOM3002', 'KOM3712', 'KOM3722', 'KOM3752', 'KOM3772', 'KOM4221', 'KOM4321', 'KOM4421', 'KOM4521', 'KOM9000', 'ATA1031', 'FIZ1001', 'MAT1071', 'MDB1031', 'TDB1031', 'IST1990', 'ATA1032', 'MAT1072', 'MDB1032', 'TDB1032', 'ENF1180', 'MAT2411']"
MTF,"['MTF1111', 'MTF1121', 'MTF1131', 'MTF1112', 'MTF1122', 'MTF1132', 'MTF1142', 'MTF1152', 'MTF2051', 'MTF2111', 'MTF2121', 'MTF2131', 'MTF2141', 'MTF2151', 'MTF2092', 'MTF2112', 'MTF2122', 'MTF2132', 'MTF2142', 'MTF2152', 'MTF3001', 'MTF3211', 'MTF3311', 'MTF3321', 'MTF3331', 'MTF3341', 'MTF3991', 'MTF3132', 'MTF3212', 'MTF3312', 'MTF3322', 'MTF3323', 'MTF3324', 'MTF4001', 'MTF4201', 'MTF4211', 'MTF4451', 'MTF4461', 'MTF4471', 'MTF4991', 'MTF4462', 'MTF4472', 'MTF9000', 'ATA1031', 'TDB1031', 'ATA1032', 'TDB1032', 'ENF1100']"
FIZ,"['FIZ1111', 'FIZ1121', 'FIZ1112', 'FIZ1122', 'FIZ1262', 'FIZ2131', 'FIZ2211', 'FIZ2221', 'FIZ2271', 'FIZ2132', 'FIZ2152', 'FIZ2282', 'FIZ3401', 'FIZ3411', 'FIZ3421', 'FIZ3222', 'FIZ3402', 'FIZ3422', 'FIZ4101', 'FIZ4111', 'FIZ9000', 'KIM1170', 'KIM1611', 'MDB1031', 'MAT1071', 'TDB1031', 'KIM1612', 'MAT1072', 'MDB1032', 'TDB1032', 'ATA1031', 'MDB2051', 'ATA1032', 'ENF1170']"
IST,"['IST1131', 'IST1141', 'IST1081', 'IST1132', 'IST1142', 'IST2161', 'IST2131', 'IST2041', 'IST2081', 'IST2121', 'IST2162', 'IST2022', 'IST2252', 'IST2142', 'IST3121', 'IST3131', 'IST3141', 'IST3011', 'IST3012', 'IST3142', 'IST3002', 'IST4131', 'IST4111', 'IST4122', 'IST4000', 'TDB1031', 'MAT1001', 'MDB1031', 'ATA1031', 'MAT1811', 'TDB1032', 'MAT1002', 'ENF1170', 'ATA1032', 'MDB1032', 'MAT2001', 'IKT1101', 'MAT2412', 'MDB2051', 'MDB3032']"
KIM,"['KIM1131', 'KIM1611', 'KIM1621', 'KIM1701', 'KIM1022', 'KIM1602', 'KIM1612', 'KIM2511', 'KIM2521', 'KIM2531', 'KIM2541', 'KIM2551', 'KIM2512', 'KIM2522', 'KIM2532', 'KIM2542', 'KIM2552', 'KIM2562', 'KIM3411', 'KIM3421', 'KIM3431', 'KIM3441', 'KIM3451', 'KIM3412', 'KIM3422', 'KIM3432', 'KIM3442', 'KIM3452', 'KIM3462', 'KIM4001', 'KIM4801', 'KIM4911', 'KIM4921', 'KIM4931', 'KIM4392', 'KIM9000', 'ATA1031', 'FIZ1001', 'MAT1071', 'MDB1031', 'TDB1031', 'ATA1032', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032']"
MBG,"['MBG1011', 'MBG1012', 'MBG1032', 'MBG1042', 'MBG2041', 'MBG2211', 'MBG2221', 'MBG2231', 'MBG2241', 'MBG2042', 'MBG2212', 'MBG2222', 'MBG2232', 'MBG2242', 'MBG3011', 'MBG3051', 'MBG3321', 'MBG3331', 'MBG3052', 'MBG3312', 'MBG3322', 'MBG3332', 'MBG4001', 'MBG4411', 'MBG4421', 'MBG4412', 'MBG4000', 'ATA1031', 'ENF1170', 'FIZ1001', 'KIM1511', 'MAT1821', 'TDB1031', 'ATA1032', 'FIZ1002', 'KIM1512', 'MDB1032', 'TDB1032', 'MDB2051', 'MDB3032']"
MAT,"['MAT1141', 'MAT1151', 'MAT1161', 'MAT1171', 'MAT1142', 'MAT1152', 'MAT1162', 'MAT2041', 'MAT2091', 'MAT2131', 'MAT2141', 'MAT2171', 'MAT2042', 'MAT2092', 'MAT2142', 'MAT2172', 'MAT2192', 'MAT3151', 'MAT3161', 'MAT3171', 'MAT3181', 'MAT3152', 'MAT3172', 'MAT3182', 'MAT4041', 'MAT4111', 'MAT9000', 'FIZ1001', 'MDB1031', 'TDB1031', 'FIZ1002', 'MDB1032', 'TDB1032', 'ATA1031', 'ATA1032']"
TDE,"['TDE1241', 'TDE1241', 'TDE1251', 'TDE1211', 'TDE1271', 'TDE1221', 'TDE1242', 'TDE1212', 'TDE1252', 'TDE1272', 'TDE1262', 'TDE1222', 'TDE2211', 'TDE2221', 'TDE2241', 'TDE2261', 'TDE2251', 'TDE2271', 'TDE2231', 'TDE2281', 'TDE2222', 'TDE2262', 'TDE2242', 'TDE2232', 'TDE2242', 'TDE2232', 'TDE2212', 'TDE2252', 'TDE3241', 'TDE3261', 'TDE3211', 'TDE3231', 'TDE3221', 'TDE3242', 'TDE3262', 'TDE3272', 'TDE3212', 'TDE3252', 'TDE4251', 'TDE4271', 'TDE4241', 'TDE4242', 'TDE4262', 'TDE4000', 'ENF1100', 'MDB1051', 'MDB1052', 'ATA1031', 'ATA1032']"
IKT,"['IKT1101', 'IKT1111', 'IKT1121', 'IKT1102', 'IKT1112', 'IKT1122', 'IKT2201', 'IKT2211', 'IKT2281', 'IKT2901', 'IKT2202', 'IKT2212', 'IKT2222', 'IKT2272', 'IKT2902', 'IKT3311', 'IKT3321', 'IKT3901', 'IKT3362', 'IKT3902', 'IKT4401', 'IKT4411', 'IKT4000', 'IKT4422', 'ISL1171', 'ISL1711', 'MDB1031', 'TDB1031', 'ISL1182', 'MDB1032', 'SBU1612', 'TDB1032', 'ATA1031', 'ENF1100', 'ATA1032', 'ENF1170']"
ISL,"['ISL1171', 'ISL1181', 'ISL1611', 'ISL1711', 'ISL1182', 'ISL1552', 'ISL1622', 'ISL2211', 'ISL2441', 'ISL2481', 'ISL2731', 'ISL2851', 'ISL2122', 'ISL2132', 'ISL2442', 'ISL2452', 'ISL2642', 'ISL3051', 'ISL3221', 'ISL3411', 'ISL3621', 'ISL3152', 'ISL3522', 'ISL3562', 'ISL3662', 'ISL3862', 'ISL3912', 'ISL4051', 'ISL4251', 'ISL4421', 'ISL4551', 'ISL4000', 'ISL4582', 'ISL4692', 'ATA1031', 'IKT1101', 'MDB1031', 'TDB1031', 'ATA1032', 'IKT1102', 'MDB1032', 'TDB1032', 'MDB2051', 'ENF1170', 'MDB3032', 'IKT4402']"
