department_code,social_elective_courses
BLM,"['TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'FEL4251', 'BED1014', 'EUT2022', 'MDB1001', 'MDB1004', 'MDB1007', 'MDB1011', 'MDB1015', 'MDB1017', 'MDB1101', 'MDB2001', 'BED1013', 'GRA2024', 'MDB1003', 'MDB1005', 'MDB1009', 'MDB1013', 'MDB1016', 'MDB1019', 'MDB1201', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED4021', 'MEM4501', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4022', 'BED4031', 'BED4032', 'BLM2110', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'IKT3322', 'IKT3562', 'ISL1611', 'ISL1622', 'ISL1711', 'ISL3040', 'ISL3411', 'ISL3522', 'ISL3621', 'ISL3631', 'ISL3660', 'ISL3912', 'ISL3930', 'ISL4420', 'ISL4551', 'ISL4611', 'ISL4640', 'ISL4760', 'ISL4851', 'ISL4860']"
BSP,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'EUT2022', 'ILT1611', 'GRA2024', 'BED1013', 'BED1014', 'MDB1001', 'MDB1003', 'MDB1004', 'ISL2170', 'MDB1005', 'MDB1007', 'ITB3610', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'ITB3320', 'MDB1016', 'ITB3310', 'MDB1017', 'MDB1019', 'MDB1101', 'TRO2291', 'MDB1201', 'MDB2001', 'ILT1621', 'MDB2003', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL4251', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'GRA4120', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'DNS1210', 'ITB1680', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041']"
BTO,"['SBO2270', 'SBO2930', 'SBO2920', 'EGT2270', 'FBO2010', 'ING2170', 'OKL2250', 'PDR2260', 'PDR2270', 'SBO2010', 'SBO2110', 'SBO2210', 'SBO2310', 'SNF2050', 'SNF2070', 'SNF2080', 'SNF2090', 'TRO2840', 'TRO2850', 'TRO2860']"
BYM,"['DNS1210', 'ITB2090', 'ITB3020', 'ITB3040', 'ITB3150', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'MDB4011', 'MDB4021', 'MDB4031', 'MTP4760', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB3010', 'ITB3130', 'ITB3210', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MDB4041', 'MDB4051', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB3330', 'ITB2090', 'ITB3150', 'KIM2111', 'ILT1611', 'ITB3260', 'ITB3420', 'ITB3210', 'ITB3220', 'ITB3130', 'ISL2170', 'ITB3010', 'ITB3610', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB3390', 'ITB2030', 'TRO2291', 'ITB4100', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'ISS1132', 'ISS1032', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012']"
CEV,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'BED1013', 'ISL2630', 'BED1014', 'ISL2901', 'EUT2022', 'ISL2760', 'GRA2024', 'SBP2031', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'KIM2111', 'MDB1009', 'ILT1611', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'ISL2170', 'MDB1101', 'MDB1201', 'ITB3610', 'MDB2001', 'MDB2003', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'CEV3333', 'DNS1210', 'MTP4760', 'FEL4251', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4041', 'MDB4051', 'MDB4031', 'ITB2030', 'ITB3150', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB2080', 'ITB3360', 'ITB4930', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB4100', 'ITB2020', 'ITB3250', 'ITB3330', 'ITB2090', 'ITB3570', 'ITB2040', 'ITB3390', 'BED3011', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED4032', 'BED4021', 'BED3042']"
DTP,"['SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'GRA4120', 'TDB4051', 'BLM2110', 'FEL4251', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'ISS1132', 'ISS1032', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'DNS1210', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'ITB1680', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3310', 'ITB3320', 'ITB3330', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3580', 'ITB3610', 'ITB4100', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'TDB4061']"
EHM,"['MDB1013', 'BED1014', 'MDB1015', 'MDB1017', 'MDB1101', 'MDB2001', 'MDB1016', 'MDB1019', 'MDB1201', 'MDB2003', 'BED1013', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'EUT2022', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED4021', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2090', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'ITB3330', 'ITB3360', 'ITB2020', 'ITB4930', 'ITB3040', 'ITB2030', 'ITB3210', 'ITB2090', 'ITB3570', 'ITB2040', 'ITB3020', 'ITB3550', 'ITB3270', 'ITB3260', 'ITB3220', 'ITB3420', 'ITB3250', 'ITB3130', 'ITB3560', 'ITB3010', 'ITB3150', 'ITB2080', 'ITB4100', 'ITB3390', 'ITB3610', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4022', 'BED4031', 'BED4032', 'ISL3631', 'ISL3531', 'ISL3972', 'IKT3322', 'IKT3562', 'ISL1611', 'ISL1711', 'ISL1622', 'ISL3411', 'ISL3621', 'ISL3522', 'ISL3912', 'ISL4551', 'ISL3040', 'ISL3660', 'ISL3930', 'ISL4420', 'ISL4611', 'ISL4860', 'ISL4760', 'ISL4640', 'ISL4851']"
ELM,"['IKT3322', 'IKT3562', 'ISL1611', 'ISL1711', 'ISL1622', 'ISL3411', 'ISL3621', 'ISL3522', 'ISL3912', 'ISL4551', 'ISL3040', 'ISL3660', 'ISL3930', 'ISL4420', 'ISL4611', 'ISL4860', 'ISL4760', 'ISL4640', 'ISL4851', 'ELM4132', 'ELM4142', 'FEL4251', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'EUT2022', 'GRA2024', 'MDB1004', 'MDB1016', 'MDB2001', 'MDB2003', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3220', 'ITB3330', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB2030', 'ITB3210', 'ITB2040', 'ITB3320', 'ITB3270', 'ITB3260', 'ITB3250', 'ITB3310', 'ITB3610']"
END,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'GIM4151', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'GRA4120', 'TDB4061', 'BLM2110', 'FEL4251', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1005', 'MDB1004', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2003', 'BED3011', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4101', 'ITB1680', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'TDB4051', 'DNS1210', 'MTP4760', 'ITB2030', 'ITB3570', 'ITB2040', 'ITB3550', 'ITB3250', 'ITB3560', 'ITB3360', 'ITB2020', 'ITB4930', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4032', 'BED4022', 'BED3042', 'ITB4100', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3420', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'MDB4051']"
FBO,"['SBO2270', 'SBO2930', 'SBO2920', 'FBO2010', 'BTO2910', 'EGT2270', 'ING2170', 'OKL2250', 'PDR2260', 'PDR2270', 'SBO2010', 'SBO2110', 'SBO2210', 'SBO2310', 'SNF2050', 'SNF2070', 'SNF2080', 'SNF2090', 'TRO2840', 'TRO2850', 'TRO2860']"
FIZ,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED3051', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'BED1013', 'BED1014', 'EUT2022', 'ITB3320', 'GRA2024', 'ITB3310', 'MDB1001', 'MDB1003', 'MDB1004', 'TRO2291', 'MDB1005', 'MDB1007', 'ILT1621', 'MDB1009', 'SBP2082', 'MDB1011', 'SYP2192', 'MDB1013', 'SYP3241', 'MDB1016', 'MIM1422', 'MDB1019', 'MIM2421', 'MDB1201', 'MIM2411', 'MDB2003', 'MIM1412', 'MDB1015', 'HRT2941', 'MDB1017', 'MDB1101', 'MDB1052', 'MDB2001', 'INS2462', 'MDB4021', 'MDB4031', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'BED3012', 'BED3042', 'BED4022', 'BED4031', 'BED4032', 'DNS1210', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MDB4011', 'MDB4041', 'MTP4760']"
FVP,"['ITB4100', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3260', 'ITB3330', 'ITB3550', 'PDR2021', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'ISS1132', 'ISS1032', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB2090', 'KIM2111', 'ILT1611', 'ITB3420', 'ITB3130', 'ISL2170', 'ITB3610', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB3390', 'ITB2030', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL4251', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110']"
GDM,"['PDR2021', 'TRO2271', 'BED1013', 'TRO2281', 'BED1014', 'EGT1022', 'EUT2022', 'EGT4041', 'GRA2024', 'EGT2031', 'MDB1001', 'MDB1003', 'MDB1004', 'BED3011', 'MDB1005', 'BED4021', 'MDB1007', 'BED3041', 'MDB1009', 'BED4031', 'MDB1011', 'BED3051', 'MDB1013', 'BED3012', 'MDB1015', 'BED4022', 'MDB1016', 'BED3042', 'MDB1017', 'BED4032', 'MDB1019', 'MEM4501', 'MDB1101', 'TRO2261', 'MDB1201', 'TRO4522', 'MDB2001', 'MDB2003', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB2090', 'KIM2111', 'ILT1611', 'ITB3260', 'ITB3130', 'ISL2170', 'ITB3610', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB2030', 'TRO2291', 'FEL4251', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'ITB3010', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB4100']"
