department_code,social_elective_courses
GRA,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'ISS1132', 'ISS1032', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB3330', 'ITB2090', 'ITB3150', 'KIM2111', 'ILT1611', 'ITB3260', 'ITB3420', 'ITB3210', 'ITB3220', 'ITB3130', 'ISL2170', 'ITB3010', 'ITB3610', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB3390', 'ITB2030', 'TRO2291', 'ITB4100', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110']"
HRT,"['BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'FEL4251', 'ISL2901', 'ISL2760', 'EGT2131', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'MDB1052', 'INS2462', 'MDB4021', 'MDB4031', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'HRT2941', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4032', 'BED3042', 'BED4022', 'MDB4051', 'MDB4011', 'MDB4041', 'ITB3040', 'ITB2030', 'ITB3210', 'ITB3330', 'ITB2090', 'ITB3570', 'ITB2040', 'ITB3020', 'ITB3550', 'ITB3270', 'ITB3260', 'ITB3220', 'ITB3420', 'ITB3250', 'ITB3130', 'ITB3560', 'ITB3010', 'ITB3150', 'ITB2080', 'ITB4100', 'ITB3390', 'ITB3360', 'ITB2020', 'ITB4930']"
IKT,"['TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'KIM2111', 'ILT1611', 'ITB3420', 'ISL2170', 'ITB3010', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'ITB2020', 'ITB2030', 'ITB2080', 'ITB2090', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'ISL3620', 'ISL3631', 'ISL3641', 'ELM3262', 'BLM2521', 'INS2942', 'ISL3450', 'ISL3650', 'ISL3460', 'ISL4450', 'ISL3360', 'SBU2252', 'ISL3770', 'ISL3810', 'ISL3740', 'ISL4570', 'ISL4591', 'ISL4611', 'ISL4612', 'ISL4631', 'ISL4632', 'ISL4640', 'ISL4650', 'ISL4681', 'ISL4682', 'ISL4690', 'ISL4710', 'ISL4722', 'ISL4740', 'ISL4750', 'ISL4760', 'ISL4780', 'ISL4790', 'ISL4810', 'ISL4830', 'ISL4841', 'ISL4860', 'ISL4870', 'ISL4891', 'ISL4910', 'ISL4921', 'ISL4922', 'ISL4931', 'ISL4941', 'ISL4942', 'SBU2011', 'SBU2022', 'SBU2551', 'SBU2572', 'SBU2612', 'SBU2641', 'SBU2711', 'SBU3112', 'SBU3812', 'SBU3912', 'SBU3922', 'SBU4011', 'SBU4012', 'SBU4101', 'SBU4201', 'SBU4301', 'SBU4401', 'SBU4521', 'SBU4562', 'SBU4572', 'SBU4611', 'SBU4621', 'SBU4641', 'FVP2411', 'IKT3521', 'IKT3562', 'ISL1611', 'ISL2442', 'ISL3030', 'ISL3040', 'ISL3160', 'ISL3182', 'ISL3190', 'ISL3411', 'ISL3530', 'ISL3531', 'ISL3540', 'ISL3541', 'ISL3660', 'ISL3662', 'ISL3670', 'ISL3722', 'ISL3730', 'ISL3862', 'ISL3912', 'ISL3930', 'ISL3972', 'ISL3982', 'ISL4140', 'ISL4240', 'ISL4250', 'ISL4260', 'ISL4330', 'ISL4340', 'ISL4350', 'ISL4420', 'ISL4431', 'ISL4440', 'ISL4470', 'ISL4480', 'ISL4550', 'ISL4860', 'SBU3111', 'SBU3302', 'SBU2631', 'SBU2602', 'SBU3122', 'SBU4502', 'ISL4851', 'SBU2642', 'SBU2652', 'SYP1061', 'MAT1811', 'IST3141', 'MTM1522', 'MTM1532', 'MTM2522', 'MTM3501', 'MTM3502', 'MTM3512', 'MTM3522', 'MTM4502']"
ILT,"['BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'PDR2021', 'MDB1101', 'TRO2271', 'MDB1201', 'TRO2281', 'MDB2001', 'EGT1022', 'MDB2003', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB3330', 'ITB2090', 'ITB3150', 'KIM2111', 'ILT1611', 'ITB3260', 'ITB3420', 'ITB3210', 'ITB3220', 'ITB3130', 'ISL2170', 'ITB3010', 'ITB3610', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'ITB3390', 'ITB2030', 'TRO2291', 'ITB4100', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110']"
ING,"['SBO2270', 'SBO2930', 'SBO2920', 'BTO2910', 'EGT2270', 'FBO2010', 'ING2170', 'OKL2250', 'PDR2260', 'PDR2270', 'SBO2010', 'SBO2110', 'SBO2210', 'SBO2310', 'SNF2050', 'SNF2070', 'SNF2080', 'SNF2090', 'TRO2840', 'TRO2850', 'TRO2860']"
INS,"['BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'DNS1210', 'MTP4760', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'FEL4251', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'INS4002', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4021', 'BED4022', 'BED4031', 'BED4032', 'INS2462', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3320', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'MDB4051']"
ISL,"['FVP3702', 'FVP3742', 'FVP4702', 'IKT2281', 'IKT2902', 'IKT3512', 'IKT3610', 'IKT3620', 'IKT3630', 'IKT3680', 'IKT3720', 'SBU1612', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1017', 'MDB1019', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'SBP2031', 'FEL4251', 'KIM2111', 'EGT2131', 'ILT1611', 'ITB3010', 'ITB3610', 'ITB3320', 'ITB3310', 'ISL2650', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4021', 'BED4022', 'BED4031', 'BED4032', 'ISL2170', 'ISL2560', 'ISL2630', 'ISL2710', 'ISL2760', 'ISL2901', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'MDB4011', 'MDB4021', 'IKT4790', 'IKT3810', 'IKT3820', 'IKT3830', 'IKT3840', 'IKT1121', 'IKT3650', 'IKT3660', 'IKT3670', 'IKT3690', 'IKT3700', 'IKT3710', 'IKT3730', 'IKT4411', 'IKT4610', 'IKT4740', 'SBU1401', 'SBU2142', 'SBU2211', 'SBU3101', 'SBU3102']"
IST,"['PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'BED1013', 'MDB1052', 'BED1014', 'INS2462', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB4031', 'MDB1003', 'MDB4041', 'MDB1004', 'MDB1005', 'FIZ1110', 'MDB1007', 'FEL2160', 'MDB1009', 'FEL2270', 'MDB1011', 'FEL2280', 'MDB1013', 'FEL3230', 'MDB1015', 'FEL3240', 'MDB1016', 'FEL3330', 'MDB1017', 'FEL3340', 'MDB1019', 'FEL3350', 'MDB1101', 'FEL3410', 'MDB1201', 'MDB2001', 'MDB2003', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'TDB4061', 'BLM2110', 'FEL4251', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'ITB1680', 'TDB4051', 'BED3011', 'BED3012', 'BED3041', 'BED3042', 'BED3051', 'BED4021', 'BED4022', 'BED4031', 'BED4032', 'DNS1210', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'ITB4930', 'MDB4011', 'MDB4021', 'MTP4760']"
KIM,"['KIM1052', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1003', 'MDB1005', 'MDB1009', 'MDB1015', 'MDB1017', 'MDB1101', 'MDB2001', 'MDB1001', 'MDB1004', 'MDB1007', 'MDB1011', 'MDB1016', 'MDB1019', 'MDB1201', 'MDB2003', 'MDB1013', 'ITB2030', 'ITB3010', 'ITB3220', 'ITB3250', 'ITB3390', 'PDR2021', 'TRO2271', 'TRO2281', 'FEL4251', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3051', 'BED3012', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'ITB3330', 'ITB2090', 'ITB3150', 'ILT1611', 'ITB3260', 'ITB3210', 'ITB3130', 'ISL2170', 'ITB3610', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'TRO2291', 'ITB4100', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'BED3011', 'BED3041', 'BED3042', 'BED4021', 'BED4022', 'BED4031', 'BED4032', 'ITB2080', 'ITB3020', 'ITB3420']"
KMM,"['DNS1210', 'ITB3250', 'ITB2040', 'ITB2090', 'ITB2020', 'ITB3260', 'ITB2030', 'ITB3270', 'ITB3210', 'ITB2080', 'ITB3360', 'ITB3220', 'ITB3390', 'ITB3010', 'ITB3330', 'ITB3420', 'ITB3020', 'ITB3570', 'ITB3040', 'ITB3550', 'ITB3130', 'ITB3560', 'MDB4021', 'ITB3150', 'MDB4041', 'ITB4100', 'MDB4011', 'MDB4051', 'MDB4031', 'MTP4760', 'CEV2231', 'CEV3321', 'ISL1611', 'ISL1711', 'ISL3660', 'ISL4910', 'ISL3460', 'ISL3450', 'ISL4631', 'ELM2082', 'ISL1622', 'ISL3912']"
KOM,"['IKT3322', 'IKT3562', 'ISL1611', 'ISL1622', 'ISL1711', 'ISL3040', 'ISL3411', 'ISL3522', 'ISL3531', 'ISL3621', 'ISL3631', 'ISL3660', 'ISL3912', 'ISL3930', 'ISL3972', 'ISL4420', 'ISL4551', 'ISL4611', 'ISL4640', 'ISL4760', 'ISL4851', 'ISL4860', 'MDB1013', 'BED1013', 'GRA2024', 'MDB1003', 'MDB1005', 'KOM4995', 'MDB1009', 'MDB1015', 'MDB1017', 'MDB1101', 'MDB2001', 'BED1014', 'EUT2022', 'MDB1001', 'MDB1004', 'MDB1007', 'MDB1011', 'MDB1016', 'MDB1019', 'MDB1201', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'FEL4251', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'KIM2111', 'ILT1611', 'ISL2170', 'ITB3610', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'MIM1422', 'MIM2421', 'MIM2411', 'MIM1412', 'HRT2941', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB4930', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'DNS1210', 'ITB2020', 'ITB2030', 'ITB2040', 'ITB2080', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3130', 'ITB3150', 'ITB3210', 'ITB3220', 'ITB3250', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3360', 'ITB3390', 'ITB3420', 'ITB3550', 'ITB3560', 'ITB3570', 'ITB4100', 'MTP4760']"
KVK,"['BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1019', 'MDB1017', 'MDB1101', 'MDB1201', 'MDB2001', 'MDB2003', 'PDR2021', 'TRO2271', 'TRO2281', 'EGT1022', 'EGT4041', 'EGT2031', 'BED3011', 'BED4021', 'BED3041', 'BED4031', 'BED3051', 'BED3012', 'BED4022', 'BED3042', 'BED4032', 'MEM4501', 'TRO2261', 'TRO4522', 'SNF2112', 'TRO4532', 'ISL2560', 'ISL2710', 'ISL2630', 'ISL2901', 'ISL2760', 'SBP2031', 'ITB2040', 'KIM2111', 'ILT1611', 'ITB3420', 'ITB3210', 'ITB3130', 'ISL2170', 'ITB3610', 'ITB3560', 'ITB3570', 'ITB3320', 'ITB3310', 'TRO2291', 'ILT1621', 'SBP2082', 'SYP2192', 'SYP3241', 'HRT2941', 'ITB2020', 'MDB1052', 'INS2462', 'MDB4011', 'MDB4021', 'MDB4031', 'MDB4041', 'ITB3250', 'FIZ1110', 'FEL2160', 'FEL2270', 'FEL2280', 'FEL3230', 'FEL3240', 'FEL3330', 'FEL3340', 'FEL3350', 'FEL3410', 'ITB3360', 'ITB4930', 'MTP4760', 'TDB4011', 'TDB4021', 'TDB4031', 'TDB4041', 'GRA4120', 'ITB1680', 'TDB4051', 'DNS1220', 'DNS1230', 'DNS1240', 'GIM4151', 'TDB4061', 'BLM2110', 'FEL4251', 'ITB4100', 'ITB2030', 'ITB2090', 'ITB3010', 'ITB3020', 'ITB3040', 'ITB3150', 'ITB3220', 'ITB3260', 'ITB3270', 'ITB3330', 'ITB3390', 'ITB3550', 'MIM1412', 'MIM1422', 'MIM2421', 'MIM2411', 'BED1013', 'BED1014', 'EUT2022', 'GRA2024', 'MDB1001', 'MDB1003', 'MDB1004', 'MDB1005', 'MDB1007', 'MDB1009', 'MDB1011', 'MDB1013', 'MDB1015', 'MDB1016', 'MDB1019']"
